dataset,model,acc,time,args,source
blogcatalog,GCNII,96.25±0.61,200.87,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 16, 'model': 'GCNII', 'dropout': 0.5, 'alpha': 0.3, 'lammbda': 0.5, 'variant': False}",cola
flickr,HOGGCN,90.40±0.64,822.05,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'HOGGCN', 'nhid1': 512, 'nhid2': 256, 'dropout': 0.5, 'adj': tensor([[1., 1., 1.,  ..., 0., 0., 0.],
        [1., 1., 1.,  ..., 0., 0., 1.],
        [1., 1., 1.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 1., 0.,  ..., 0., 0., 1.]])}",cola
photo,GCNII,95.54±0.34,174.91,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 8, 'model': 'GCNII', 'dropout': 0.5, 'alpha': 0.4, 'lammbda': 0.5, 'variant': False}",pyg
actor,GCNII,35.69±1.08,38.34,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 4, 'model': 'GCNII', 'dropout': 0.0, 'alpha': 0.4, 'lammbda': 1, 'variant': False}",pyg
actor,GGCN,35.72±1.48,290.68,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 8, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.5, 'decay_rate': 1.2, 'nlayers': 4, 'use_sparse': False, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",pyg
blogcatalog,GCN,77.28±1.43,365.07,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCN', 'dropout': 0}",cola
wikics,OrderedGNN,85.60±0.77,352.53,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.3, 'dropout2': 0.1, 'global_gating': False, 'num_layers_input': 2, 'chunk_size': 64, 'hidden_channel': 256, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",pyg
wikics,GPRGNN,83.16±1.23,521.94,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.2, 'nlayers': 32, 'dprate': 0.0, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",pyg
pubmed,GGCN,89.19±0.43,178.66,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 80, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.1, 'decay_rate': 0.6, 'nlayers': 2, 'use_sparse': True, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",pyg
photo,GCN,94.88±2.08,150.35,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 2, 'model': 'GCN', 'dropout': 0.5}",pyg
blogcatalog,HOGGCN,95.79±0.59,340.37,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'HOGGCN', 'nhid1': 512, 'nhid2': 256, 'dropout': 0.5, 'adj': tensor([[1., 1., 0.,  ..., 0., 0., 0.],
        [1., 1., 1.,  ..., 0., 0., 0.],
        [0., 1., 1.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 0., 0., 1.]])}",cola
actor,GCN,30.82±1.41,55.49,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 200, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCN', 'dropout': 0.5}",pyg
pubmed,GCN,87.70±0.58,78.18,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCN', 'dropout': 0.5}",pyg
photo,MixHop,94.91±0.45,682.02,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",pyg
wikics,GCN,78.59±1.07,160.65,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCN', 'dropout': 0.5}",pyg
flickr,H2GCN,91.33±0.59,1433.45,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': False, 'k': 2, 'hidden_dim': 64}",cola
flickr,GAT,57.87±2.22,1417.42,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 2, 'model': 'GAT', 'dropout': 0.5}",cola
actor,MixHop,36.82±0.98,140.05,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",pyg
pubmed,GCNII,90.00±0.46,553.26,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 32, 'model': 'GCNII', 'dropout': 0.5, 'alpha': 0.2, 'lammbda': 1, 'variant': True}",pyg
blogcatalog,GAT,85.36±1.37,88.72,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GAT', 'dropout': 0.5}",cola
wikics,GCNII,85.15±0.56,87.41,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCNII', 'dropout': 0.5, 'alpha': 0.2, 'lammbda': 1, 'variant': True}",pyg
pubmed,MixHop,89.40±0.37,330.82,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",pyg
photo,GAT,94.72±0.52,458.77,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GAT', 'dropout': 0.5}",pyg
flickr,GloGNN,88.18±0.85,1638.27,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.4, 'alpha': 0, 'beta': 100, 'gamma': 0.6, 'delta': 0.5, 'norm_layers': 1, 'orders': 3, 'norm_func_id': 2, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 7575}",cola
wikics,GGCN,83.67±0.75,891.37,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.6, 'decay_rate': 0.8, 'nlayers': 2, 'use_sparse': False, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",pyg
actor,GAT,30.94±0.95 ,46.78,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GAT', 'dropout': 0.5}",pyg
blogcatalog,GloGNN,92.53±0.80,72.20,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.3, 'alpha': 10, 'beta': 1, 'gamma': 0.8, 'delta': 0.6, 'norm_layers': 1, 'orders': 4, 'norm_func_id': 1, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 5196}",cola
pubmed,GAT,87.64±0.54,228.23,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 2, 'model': 'GAT', 'dropout': 0.5}",pyg
photo,HOGGCN,94.48±0.50,1308.29,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'HOGGCN', 'nhid1': 512, 'nhid2': 256, 'dropout': 0.5, 'adj': tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 1., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 0., 0., 1.]])}",pyg
wikics,GAT,76.92±0.81,428.17,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GAT', 'dropout': 0.5}",pyg
blogcatalog,H2GCN,96.32±0.62,1281.20,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': True, 'k': 2, 'hidden_dim': 64}",cola
actor,HOGGCN,36.05±1.06,654.10,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'HOGGCN', 'nhid1': 512, 'nhid2': 256, 'dropout': 0.5, 'adj': tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 1., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 0., 0., 1.]])}",pyg
wikics,MixHop,83.15±0.96,1782.51,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",pyg
photo,H2GCN,91.56±1.49,954.57,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': False, 'k': 2, 'hidden_dim': 64}",pyg
actor,H2GCN,32.74±1.23,70.53,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': False, 'k': 2, 'hidden_dim': 64}",pyg
pubmed,H2GCN,89.50±0.43,101.40,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': True, 'k': 2, 'hidden_dim': 64}",pyg
squirrel,GBKGNN,34.58±1.63,3285.72,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.01, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GBKGNN', 'lamda': 1, 'dim_size': 16}",critical
photo,GloGNN,92.15±0.33,2511.26,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.4, 'alpha': 0, 'beta': 100, 'gamma': 0.2, 'delta': 0.7, 'norm_layers': 1, 'orders': 5, 'norm_func_id': 2, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 7650}",pyg
wikics,H2GCN,74.76±3.39,2618.81,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': False, 'k': 2, 'hidden_dim': 64}",pyg
actor,GloGNN,35.82±1.27,1910.55,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.8, 'alpha': 10, 'beta': 100, 'gamma': 0.5, 'delta': 0.8, 'norm_layers': 2, 'orders': 5, 'norm_func_id': 2, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 7600}",pyg
pubmed,GloGNN,88.14±0.25,214.18,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.7, 'alpha': 1, 'beta': 1000, 'gamma': 0.6, 'delta': 0.8, 'norm_layers': 2, 'orders': 5, 'norm_func_id': 1, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 19717}",pyg
wikics,HOGGCN,83.57±0.63,4056.88,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'HOGGCN', 'nhid1': 512, 'nhid2': 256, 'dropout': 0.5, 'adj': tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 1., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 0., 0., 1.]])}",pyg
wikics,GloGNN,84.20±0.55,5589.10,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.1, 'alpha': 1, 'beta': 1000, 'gamma': 0.5, 'delta': 0.4, 'norm_layers': 1, 'orders': 4, 'norm_func_id': 2, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 11701}",pyg
roman-empire,MLP,62.12±1.79,46.61,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0}",critical
roman-empire,GPRGNN,72.36±0.38,86.38,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.5, 'nlayers': 4, 'dprate': 0, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",critical
amazon-ratings,MLP,42.25±0.73,76.11,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0.5}",critical
roman-empire,GCNII,80.55±0.82,144.04,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 4, 'model': 'GCNII', 'dropout': 0, 'alpha': 0.2, 'lammbda': 1, 'variant': True}",critical
roman-empire,GAT,62.31±0.93,145.53,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GAT', 'dropout': 0.5}",critical
amazon-ratings,GPRGNN,46.07±0.78,65.28,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.5, 'nlayers': 2, 'dprate': 0, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",critical
amazon-ratings,GCNII,47.65±0.48,145.14,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 4, 'model': 'GCNII', 'dropout': 0, 'alpha': 0.4, 'lammbda': 1.5, 'variant': True}",critical
roman-empire,GCN,36.23±0.57,384.08,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCN', 'dropout': 0}",critical
roman-empire,OrderedGNN,82.65±0.91,437.63,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.4, 'dropout2': 0.1, 'global_gating': True, 'num_layers_input': 2, 'chunk_size': 64, 'hidden_channel': 256, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",critical
roman-empire,ACMGCN,72.58±0.35,438.66,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.5, 'structure_info': 1, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 22662}",critical
amazon-ratings,GCN,44.96±0.40,140.38,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 3, 'model': 'GCN', 'dropout': 0}",critical
amazon-ratings,GAT,47.41±0.80,510.84,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 3, 'model': 'GAT', 'dropout': 0.5}",critical
roman-empire,GloGNN,70.87±0.89,719.97,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.5, 'alpha': 1, 'beta': 1000, 'gamma': 0.7, 'delta': 1, 'norm_layers': 1, 'orders': 4, 'norm_func_id': 1, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 22662}",critical
amazon-ratings,GloGNN,49.01±0.74,73.95,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 1e-05, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GloGNN', 'dropout': 0.6, 'alpha': 1, 'beta': 10, 'gamma': 0.8, 'delta': 0.5, 'norm_layers': 1, 'orders': 1, 'norm_func_id': 1, 'early_stopping': 100, 'nhid': 64, 'orders_func_id': 2, 'nnodes': 24492}",critical
roman-empire,H2GCN,68.70±1.66,815.54,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': False, 'k': 2, 'hidden_dim': 64}",critical
