dataset,model,acc,time,args,source
squirrel,GCN,37.06±1.42,55.33,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCN', 'dropout': 0.5}",critical
squirrel,HOGGCN,35.10±1.81,52.47,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'HOGGCN', 'nhid1': 512, 'nhid2': 256, 'dropout': 0.5, 'adj': tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 1., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 0., 0., 1.]])}",critical
squirrel,ACMGCN,37.60±1.70,44.50,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.4, 'structure_info': 1, 'variant': 0, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 2223}",critical
squirrel,H2GCN,33.89±1.01,69.36,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': True, 'k': 2, 'hidden_dim': 64}",critical
squirrel,OrderedGNN,36.27±1.95,69.49,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.8, 'dropout2': 0.1, 'global_gating': False, 'num_layers_input': 2, 'chunk_size': 64, 'hidden_channel': 512, 'num_layers': 3, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",critical
squirrel,GAT,38.22±1.41,80.05,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 5e-05, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GAT', 'dropout': 0.5}",critical
squirrel,GGCN,36.04±2.61,603.49,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 8, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.7, 'decay_rate': 0.9, 'nlayers': 16, 'use_sparse': False, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",critical
squirrel,GCNII,38.43±2.10,185.09,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 4, 'model': 'GCNII', 'dropout': 0.5, 'alpha': 0.2, 'lammbda': 0.5, 'variant': False}",critical
squirrel,GPRGNN,38.00±1.58,112.07,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.9, 'nlayers': 2, 'dprate': 0.0, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",critical
flickr,MLP,89.41±0.73,164.12,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0.5}",cola
flickr,ACMGCN,68.63±1.87,137.09,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.5, 'structure_info': 1, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 7575}",cola
blogcatalog,MLP,93.08±0.63,69.63,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0, 'patience': 200, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'MLP', 'dropout': 0.5}",cola
flickr,OrderedGNN,91.13±0.59,350.41,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.8, 'dropout2': 0.1, 'global_gating': True, 'num_layers_input': 1, 'chunk_size': 64, 'hidden_channel': 512, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",cola
blogcatalog,ACMGCN,96.01±0.53,57.18,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.6, 'structure_info': 0, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 5196}",cola
